shadow entries: 29 (cap 200)
2026-08-25T18:45:20.889Z gen=6 75,0 DEPLETED WOULD_HAVE_RECOMMENDED=true 
2026-08-25T18:50:05.376Z gen=7 75,0 DEPLETED WOULD_HAVE_RECOMMENDED=true 
2026-08-25T18:54:55.709Z gen=8 75,0 DEPLETED WOULD_HAVE_RECOMMENDED=true 
2026-08-25T18:59:41.568Z gen=9 75,0 DEPLETED WOULD_HAVE_RECOMMENDED=true 
2026-08-25T19:04:32.751Z gen=10 75,0 DEPLETED WOULD_HAVE_RECOMMENDED=true 
2026-08-25T19:09:29.459Z gen=11 75,0 DEPLETED WOULD_HAVE_RECOMMENDED=true 
2026-08-25T19:14:26.242Z gen=12 75,0 DEPLETED WOULD_HAVE_RECOMMENDED=true 
2026-08-25T19:19:16.583Z gen=13 75,0 DEPLETED WOULD_HAVE_RECOMMENDED=true 
2026-08-25T19:30:09.275Z gen=14 0,0 HEALTHY WOULD_HAVE_RECOMMENDED=false 
2026-08-25T19:30:54.245Z gen=14 61,8 DECLINING WOULD_HAVE_RECOMMENDED=false 
2026-08-25T19:32:36.560Z gen=14 75,0 DEPLETED WOULD_HAVE_RECOMMENDED=true 
2026-08-25T19:42:37.496Z gen=15 0,0 HEALTHY WOULD_HAVE_RECOMMENDED=false 
2026-08-25T19:45:28.599Z gen=15 0,0 UNKNOWN WOULD_HAVE_RECOMMENDED=false [telemetry unavailable: CORRUPT]
2026-08-25T19:47:44.975Z gen=15 0,0 HEALTHY WOULD_HAVE_RECOMMENDED=false 
2026-08-25T19:48:00.695Z gen=15 0,0 HEALTHY WOULD_HAVE_RECOMMENDED=false 
total would-recommend in window: 18/29

